trip,tripSlug,photoId,location,date,alt,caption,description,Make,Model,LensModel,FocalLength,FocalLengthIn35mmFormat,FNumber,ExposureTime,ISO,ExposureProgram,MeteringMode,WhiteBalance,Flash,DateTimeOriginal,GPSLatitude,GPSLongitude,width,height,src
"bali-2026","bali-2026","bal26-011","Bali, Indonesia","2026-06-14","Bali street food vendor on scooter selling Mie Ayam & Bakso. Urban scene, warm afternoon light, lush trees, Indonesia.","Savory noodles, street life","Golden light bathes a bustling Bali street scene, highlighting a scooter-mounted food cart. The vendor prepares Indonesian favorites, Mie Ayam and Bakso, under the canopy. Long shadows stretch across the asphalt, indicating late afternoon. Lush tropical foliage frames the vibrant urban backdrop, with motorcycles and pedestrians passing by. This captures an authentic slice of daily life, celebrating rich culinary traditions.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","400","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 10:55:15","","","3261","4892","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/11-bali-street-food-vendor-mie-ayam-bakso-indonesia"
"bali-2026","bali-2026","bal26-012","Bali, Indonesia","2026-06-14","Young man on scooter beside green bakso food cart, Bali, Indonesia. Contemplative street vendor portrait with traditional architecture.","A vendor's thoughtful street gaze","A young Balinese man, wearing a cap, sits thoughtfully on his scooter, bathed in warm, soft light. His gaze is directed upwards, creating a contemplative mood. Next to him stands a vibrant green street food cart, likely selling bakso, with packaged noodles and a bright red chili sauce bottle visible. Blurred traditional tiled roofs frame the authentic street scene, capturing a quiet moment of daily life in Indonesia.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","1000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 10:55:48","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/12-bali-street-vendor-scooter-portrait-food-cart-indonesia"
"bali-2026","bali-2026","bal26-014","Bali, Indonesia","2026-06-14","Smiling Balinese man on rustic motorcycle, carrying goods, waving on bustling street, golden hour, Bali, Indonesia.","A friendly smile, daily warmth","A cheerful Balinese man smiles broadly, waving from his heavily laden motorcycle on a bustling street. His rustic scooter, adapted for carrying goods, navigates the wet asphalt. Golden hour sun bathes the scene in warm light, highlighting lush tropical foliage and traditional architecture. Overhead power lines crisscross the clear sky. This candid moment captures the authentic charm, welcoming spirit, and vibrant daily life in Bali, Indonesia.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","640","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:01:50","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/14-bali-indonesia-local-man-scooter-street-waving-smile"
"bali-2026","bali-2026","bal26-016","Bali, Indonesia","2026-06-14","Young Balinese girl on mint green scooter, older woman, boy with bicycle on lively street in Bali, Indonesia. Traditional architecture, local life.","Daily rhythms, golden light","Warm golden light illuminates a serene Balinese street scene. A young girl on a scooter converses with an older woman, while a boy stands by a bicycle. Traditional stone walls and local guest house signs frame the candid moment. Canang Sari offerings rest on the pavement, symbolizing daily spiritual practices, capturing the authentic rhythm of life in Bali, Indonesia.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","2000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:08:30","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/16-bali-street-scene-local-life-scooter-bicycle-indonesia"
"bali-2026","bali-2026","bal26-017","Bali, Indonesia","2026-06-14","Bali rice paddies at golden hour, young rice shoots reflecting sunlight in water, traditional agriculture landscape, Indonesia.","Emerald paddies reflecting golden light","Golden light bathes water-filled rice paddies in Bali, Indonesia, creating shimmering reflections of young emerald shoots. Lush green earth dividers crisscross the scene, guiding the eye across the tranquil agricultural landscape. A small, traditional hut stands subtly in the background, hinting at local life. The atmosphere is serene, emphasizing Bali's timeless beauty and cultivation.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","39.0 mm","39 mm","2.8","1/1600","100","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:10:06","","","2791","4186","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/17-bali-rice-paddies-golden-hour-reflections-indonesia"
"bali-2026","bali-2026","bal26-018","Bali, Indonesia","2026-06-14","Balinese farmer with conical hat spraying pesticide in lush green rice paddy field, banana plants foreground, orange roof house background, Bali, Indonesia","Golden hour in green rice fields","A Balinese farmer, wearing a traditional conical hat, tends to a vibrant green rice paddy field in Indonesia. The worker carries a white sprayer, diligently moving through the shallow water. Lush banana plants and a bamboo pole frame the foreground. Soft, warm sunlight bathes the scene, highlighting the individual rice shoots. In the background, a house with a distinct orange roof and tropical trees emerge, hinting at a peaceful village setting.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","320","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:11:14","","","3992","5988","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/18-bali-rice-paddy-farmer-agriculture-indonesia-golden-hour"
"bali-2026","bali-2026","bal26-019","Denpasar, Indonesia","2026-06-14","Man barefoot eating on a scooter in front of Mulia Petshop, Bali. Tropical street scene with Royal Canin signs, green plants, soft light.","Daily life, a quiet street moment","A candid moment unfolds on a Bali street, capturing a local man enjoying a meal while seated casually on his scooter. He is barefoot, focused on his food, framed by the vibrant green of tropical plants. Behind him, the Mulia Petshop storefront proudly displays 'Royal Canin' branding and colorful pet toys. The soft, natural light illuminates the scene, highlighting the textures of the street pavement and the everyday rhythm of Indonesian island life. This authentic urban vignette embodies Bali's relaxed charm.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","2000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:12:48","","","4091","6136","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/19-bali-street-man-eating-scooter-mulia-petshop-indonesia"
"bali-2026","bali-2026","bal26-020","Bali, Indonesia","2026-06-14","Golden hour in Bali, Indonesia, with a blurred scooter rider, vibrant street stall, Balinese offerings, fruit, and local women working.","Street market, golden hour glow","Warm golden hour light illuminates a bustling street scene in Bali, Indonesia. A person on a scooter, wearing a helmet and mask, navigates the street, while a vibrant local market stall comes alive. Women in orange and green shirts meticulously arrange fresh fruits, coconuts, and traditional Balinese offerings. Lush tropical foliage frames the busy street, contrasting with bright advertising banners and the everyday rhythm of island life.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","800","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:13:12","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/20-bali-street-market-golden-hour-scooter-indonesia-life"
"bali-2026","bali-2026","bal26-021","Bali, Indonesia","2026-06-14","Bali construction workers painting building on red and silver scaffolding against clear blue sky, showing daily life in Indonesia.","Island daily toil","Two local workers diligently paint a building in Bali, Indonesia, under a brilliant blue sky. Bathed in bright tropical sunlight, one man applies paint to a vibrant red wall from silver scaffolding. His colleague crouches on the platform, brush in hand, observing the progress. Strong, angular shadows from the structure create graphic patterns, capturing the essence of island construction and daily industriousness.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","125","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:20:40","","","3714","5571","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/21-bali-workers-painting-building-scaffolding-blue-sky"
"bali-2026","bali-2026","bal26-022","Bali, Indonesia","2026-06-14","Bali rice field with traditional tiered roof villas and corrugated shed at golden hour, lush tropical plants, Indonesia.","Golden light, green fields","Golden hour sunlight bathes a vibrant green rice field in Bali, Indonesia. Beyond the field, unique white villas with distinctive tiered, dark roofs emerge from lush tropical foliage. A rustic corrugated metal shed stands amidst the paddy, contrasting with the modern dwellings. The serene atmosphere captures Balinese life, blending nature's bounty with striking architecture under a warm, glowing sky.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","250","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:21:43","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/22-bali-rice-field-villas-golden-hour-indonesia"
"bali-2026","bali-2026","bal26-023","Bali, Indonesia","2026-06-14","Bali car wash, uniformed attendant spraying black BYD ATTO 3 EV, Don Julio ad, red awning, wet tiled ground, Indonesia street scene.","Daily ritual, urban refresh","A uniformed attendant diligently washes a sleek black BYD ATTO 3 electric vehicle on a wet paved surface in Bali, Indonesia. Water arcs gracefully from the hose, creating a dynamic splash across the car's body. Behind, a vibrant red awning shades a building featuring a large Don Julio liquor advertisement. Tropical foliage adds a touch of the island's natural beauty to this everyday urban scene, bathed in soft, natural light.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:23:35","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/23-bali-car-wash-attendant-black-byd-atto3-street-indonesia"
"bali-2026","bali-2026","bal26-024","Bali, Indonesia","2026-06-14","Two local men on scooters at a roadside coconut and pretzel stall in Bali, Indonesia, under warm evening light.","Street stories, golden light","Warm, golden hour light bathes a bustling roadside stall in Bali, Indonesia. Fresh green coconuts are prominently displayed alongside a 'Salzbrezeln' sign, creating an intriguing cultural mix. Two local men relax on their scooters nearby, embodying the island's laid-back rhythm. Traditional Balinese offerings are subtly visible in the background, anchoring the vibrant street scene.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1250","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:25:03","","","4107","6161","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/24-bali-street-scene-coconut-pretzel-stall-scooters"
"bali-2026","bali-2026","bal26-025","Bali, Indonesia","2026-06-14","Candid street scene in Bali, Indonesia with local men gathered around a food cart, one smiling directly at camera.","Street life, an inviting glance","Golden hour light bathes a candid street scene in Bali, Indonesia. A group of local men gather around a modest food cart, engaged in conversation. One man, leaning casually against a tree, offers a warm, inviting smile directly to the viewer. Authentic street life unfolds, reflecting the relaxed community spirit. Details like flip-flops and casual attire emphasize the genuine local atmosphere of this vibrant island.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:26:29","","","3762","5643","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/25-bali-street-food-cart-men-candid-portrait-indonesia"
"bali-2026","bali-2026","bal26-026","Canggu, Bali, Indonesia","2026-06-14","Bali street traffic at golden hour, motorcycles and cars on a busy road, sun rays through trees, Soil Food Temple sign.","Canggu Bali · golden hour commute","Golden hour sunlight bathes a busy street in Bali, Indonesia. Motorcycles and cars navigate the urban landscape, their forms silhouetted against the warm glow. Radiant light streams through overhead trees, casting a dreamlike haze over the scene. Roadside signs, including 'Soil Food Temple' and 'MEN AGUS', indicate local businesses. This image captures the vibrant, everyday pulse of Balinese life, full of movement, warmth, and tropical light.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","500","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:27:16","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/26-bali-traffic-golden-hour-scooter-commute-indonesia"
"bali-2026","bali-2026","bal26-027","Bali, Indonesia","2026-06-14","Candid portrait of a man with graying hair looking from dark car window, Bali street scene, Indonesia, warm ambient light","A quiet moment in motion","A candid portrait captures a Balinese man from inside a dark vehicle, his calm gaze meeting the viewer. Soft, warm light from the late afternoon or early morning sun illuminates his face and the car's interior. Reflections on the window hint at the bustling street outside, featuring a building with a tiled roof. The atmosphere is contemplative, a fleeting moment of connection amidst Indonesian travel.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1250","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:27:27","","","4015","6023","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/27-bali-indonesia-man-car-window-candid-portrait-street"
"bali-2026","bali-2026","bal26-028","Bali, Indonesia","2026-06-14","Bali street scene from scooter, grey car with DK license plate in traffic at golden hour, BarberBar sign visible.","Golden light, urban hum","Golden hour light bathes a busy Bali street scene. From a scooter's perspective, traffic slows, illuminating a grey Daihatsu Sigra's brake lights. Sunlight backlights lush trees and buildings, including a local barbershop, creating warm lens flare. Reflections gleam in the rearview mirror, capturing fleeting moments of Balinese urban life. This evocative image portrays the island's vibrant, everyday pulse.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","24.0 mm","24 mm","2.8","1/1600","640","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:27:49","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/28-bali-street-traffic-scooter-golden-hour-indonesia"
"bali-2026","bali-2026","bal26-029","Bali, Indonesia","2026-06-14","Person with tattoos riding a weathered blue custom scooter in Bali, Indonesia. Golden hour light, street scene, local transportation.","Island ride, golden light","A person navigates a Bali, Indonesia street on a weathered, customized blue scooter. Golden light bathes the rider's tattooed arms and a small cross-body bag. Handwritten Indonesian place names, including 'Pekalongan' and 'Banjarbaru,' adorn the scooter, hinting at extensive journeys. A vibrant red air intake highlights the engine's unique character, portraying an authentic slice of local transportation and daily life.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","4000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:29:40","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/29-bali-blue-custom-scooter-ride-local-life-indonesia"
"bali-2026","bali-2026","bal26-030","Denpasar, Bali, Indonesia","2026-06-14","Bali street food vendor next to colorful cart with golden light, selling Tahu Telor, Cilok, Sempol Ayam. Denpasar, Indonesia.","Denpasar · Balinese street culinary, golden light","Golden light bathes a bustling street scene in Denpasar, Bali, Indonesia. A local vendor stands by a colorful food cart, ready to serve traditional snacks. The cart, adorned with a green banner advertising ""Tahu Telor, Cilok, Sempol Ayam,"" emanates authentic culinary charm. Lush tropical foliage frames the background, adding to the vibrant atmosphere. This captures a candid moment of daily life, celebrating the island's rich culture and flavors.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1250","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:30:48","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/30-bali-denpasar-street-food-vendor-golden-light"
"bali-2026","bali-2026","bal26-031","Bali, Indonesia","2026-06-14","Travel photography from Bali, Indonesia","Photo 31","A travel photograph captured in Bali, Indonesia in 2026.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1600","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:30:49","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/31-bali-2026-31"
"bali-2026","bali-2026","bal26-032","Bali, Indonesia","2026-06-14","Travel photography from Bali, Indonesia","Photo 32","A travel photograph captured in Bali, Indonesia in 2026.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","1600","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:33:16","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/32-bali-2026-32"
"bali-2026","bali-2026","bal26-033","Bali, Indonesia","2026-06-14","Child-like mascot in blue and beige costume holds container on Bali street. Graffiti, green foliage, stone temple detail, Indonesia.","A whimsical street encounter","A whimsical child-like mascot in a beige and blue costume stands on a paved Bali street. It holds a small blue container, a backpack visible. Lush green foliage and traditional Balinese stone details with an orange cloth are on the left. A utility pole, covered in graffiti and posters, adds urban texture. Soft, diffused light creates a gentle atmosphere, blending tradition and modern street life in Indonesia.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1600","3200","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 11:33:23","","","3727","5590","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/33-bali-street-mascot-costume-urban-scene-indonesia"
